text,label
"If there are items that are smaller that don’t need as much direction regarding the keyboard nav, I have time today to look at it. I was wanting to help fix keyboard navigation with the navigation block, but am nowhere near knowledgeable enough with the accessibility of it to know what to actually do. I’ll follow along in the Github issues to hopefully help out and learn more 
 Thanks for your work on it!",1
"That’s great @jeryj, thank you! Once I have those issues up in the GitHub repo I’ll share them here.",1
Let’s move on then.,1
Next item is Discussion of team involvement in Gutenberg development,1
"ok, let’s move on while we still have time",1
next item is a Trac issue: #48894,1
@joedolson @Dani Hooven @afercia would you be up for following up on this?,1
I can try to dedicate some time now that I’m relatively settled down after my moving.,1
"LOL! And on that note, let’s finish our meeting then.
Thank you all for coming. Hope everyone has a great weekend 
</meeting>",1
Would anyone like to help with creating an issue as Mark suggests and adding our feedback there?,1
"Anyways, we’re derailing",1
But we should probably move on in the meeting.,1
"I’m going to move us along then, we have more topics on the agenda. Next item is feedback on a new TabPanel component: https://github.com/WordPress/gutenberg/issues/13587
Feedback is required on how keyboard navigation between tabs should behave. Currently on the editor sidebar, tabbing moves you to the next tab, but an enter is required to open such tab. There’s a new TabPanel component being developed that started by adhering to WAI-ARIA practices, where keyboard navigation differs a bit. If I understand correctly, navigating between tabs is done with the keyboard arrows, and tabbing enters you in the tab’s content. 
The question being asked is, which method should they use. (edited)",1
"We’re way past the hour, but before we leave, I’d like to remind everyone to vote for a date for the next WPAD planning meeting. You can vote here https://wordpress.slack.com/archives/CM6KEHYCR/p1581612505083800
 Thank you all for coming. Hope y’all have an excellent weekend. </meeting>
Please continue the current conversation, the channel is open 24/7.",1
"We’ll start the team meeting in a couple of minutes. Let’s give everyone time to refill their 
 / 
 / 
 /etc.",1
Here’s today’s agenda: https://make.wordpress.org/accessibility/2020/02/06/accessibility-team-meeting-agenda-february-7-2020/,1
Thank you all for being here! Let’s get started then…,1
"First item on the agenda is Discussion on the accessibility status of the Gutenberg sidebar.
This is a topic we started discussing last meeting and decided to spend more time today going over it.",1
I know @afercia has some comments on this.,1
Ah well I can just repeat what I said last week,1
"Sorry, I didn’t expect to be pinged",1
"my apologies 
 , but if you don’t mind repeating what you said, so we can frame the conversation",1
"Basically not much has changed in the way users can navigate back and forth from the content to the sidebar.
If I’m not mistaken, there’s just one more button now that allows to “jump” to the sidebar.
I’d argue this doesn’t address one of the broader issues we, as a team, pointed to since a few months.",1
"I’d also like to remind it’s more or less 10 months this team outlines a few, broader, issues in Gutenberg that are mainly related to the general design and layout. 
 No much progress, so far.",1
@nrqsnchz Are you willing to help work on visualization and help us make a proposal?,1
absolutely!,1
OK. Andrea - will you work with me to write up the text & structural changes portion? Then I'll work with Enrique to create design proposals to go with that.,1
"speaking of beta, and seeing that there’s little time left, I want to skip to the Status update on 5.4 tickets.",1
@audrasjb are you around to give us an update?,1
"There is currently 36 tickets in the milestone
- 5 are closed as fixed
- 4 open tickets are tagged for commit",1
"Beta 1 is planned for February 11, so next bug scrub (next Monday at 17:00 UTC) will probably be a “punting party”.",1
are there any tickets that could move forward with a little push?,1
"(it’s a reference for @afercia as we have a FRA-ITA rugby match on Sunday 
 )",1
"haha, sounds like it’ll be a fun match",1
"Yes, everthing still in the milestone “can” land in 5.4, so feel free to help on them",1
"my knowledge of Trac is still very limited, can you share a link with all those tickets, @audrasjb ? (edited)",1
https://core.trac.wordpress.org/query?status=accepted&status=assigned&status=new&status=reopened&status=reviewing&keywords=~commit&focuses=~accessibility&milestone=5.4&col=id&col=summary&col=status&col=owner&col=type&col=priority&col=milestone&order=priority,1
sure: https://core.trac.wordpress.org/query?status=accepted&status=assigned&status=new&status=reopened&status=reviewing&focuses=~accessibility&milestone=5.4&col=id&col=summary&col=status&col=owner&col=type&col=priority&col=milestone&order=priority,1
ah,1
I posted the ones ready for commit; so those are two separate lists.,1
"ah, got it. Thank you both!",1
"Ok, so if anyone has some free time, those tickets from the link @audrasjb just shared could need your help (edited)",1
@afercia & @joedolson do you have some time available for commit actions in the next few days?,1
"@sergey is always a big help for us too, but he will probably have a lot to do, as 5.4 core tech lead",1
Unfortunately I’m a bit short on time. Real life happens. I’d suggest to offer cookies to @sergey for his assistance and help,1
"and we’re past the hour, so time to end out meeting </meeting>
Thank you all for joining! Remember the channel is always open, so feel free to stick around. (edited)",1
Let’s start the meeting while waiting for joe. <meeting>,1
Welcome everyone! Here’s today’s Agenda: https://make.wordpress.org/accessibility/2020/01/30/accessibility-team-meeting-agenda-january-31-2020/,1
Let's move on - anybody want to comment on the ticket?,1
"If nobody volunteers to comment, I'll take care of it after the meeting.",1
I can do it! Sorry - got distracted.,1
#48709,1
Next up: https://github.com/WordPress/gutenberg/issues/9457,1
I'll leave this to @afercia to dive in -,1
All right - I'll mention to @nrqsnchz to add this item to next week's agenda.,1
Last item!,1
Testing the Navigation Block.,1
"Finally, Open Floor - anybody have anything to raise?",1
let’s get started with out weekly meeting then,1
"while everyone joins, here’s today’s agenda: https://make.wordpress.org/accessibility/2020/01/23/accessibility-team-meeting-agenda-january-24-2020/",1
let’s get started then,1
first item on the agenda is Update on 5.4 trac tickets,1
I’d like to start by thanking @audrasjb for organizing and running additional bug scrubs,1
the schedule can be found here: https://make.wordpress.org/accessibility/2020/01/19/wordpress-5-4-accessibility-focused-bug-scrubs-agenda/,1
Last week we were at 40 accessibility focused tickets still open in the milestone.,1
Today we are at 36 open tickets.,1
"Reminder: Beta 1 is planned for February 11, 2020. It’s our deadline for committing patches into core.",1
Next bug scrub is planned on Tuesday 28th at 17:00 UTC.,1
"thanks for the reminders and info @audrasjb!
If you can join a bug scrub, make sure to mark it on you calendars",1
let’s move on then,1
next item is Update on the last WPAD planning meeting,1
last week we had our 3rd (?) planning meeting,1
these meetings happen in #accessibility-events,1
things are starting to take shape and we already have a few folks volunteering to specific teams,1
"and most important, we have a date",1
@joedolson I’ll let you share the date with everyone on the team,1
"The intended date is September 26th, 2020. That could change, so I wouldn't start promoting it yet, but I don't think a change is very likely. However, planning still has a long way to go!",1
"However, with 8 months remaining, and given the current rate of development and participation, I feel that this is a very realistic and plausible timeline.",1
"The date was selected to avoid major holidays & WordPress events (releases, camps, etc.), but - obviously - there will still be conflicts that arise. We do what we can!",1
"I can add that folks who signed up for website design and development have already a scheduled meeting for next week, so we can start working on that!",1
"I’ll move us along then, next on the agenda is Follow up of the Gutenberg block focus project",1
let’s move on to the next item: Help testing the navigation block,1
the design team is asking for help with testing the navigation block,1
We’re almost out of time… does anyone have anything for Open floor?,1
"On that note, let’s end the meeting then 
Remember to go to #accessibility-events and vote for the dates that work best for you for next planning meeting.
Also, if you can help with bug scrubs, check out the schedule on https://make.wordpress.org/accessibility/2020/01/19/wordpress-5-4-accessibility-focused-bug-scrubs-agenda/
Hope everyone has a great weekend! 
</meeting>",1
"<community-team-chat>
We are kicking off Community Team Chat now. React to this message with your flags so we can see where you’re all from!
For anyone who is joining for the first time (whether active or observing), this is a meeting where community deputies discuss issues that have come up, WordCamps/meetups they are working on, and generally keeping up to date on what is going on in this corner of the WordPress project.
Most contributors on this team are volunteers, but we do have a handful of people who are sponsored to do this work. Ask questions as you have them, but remember we are family-friendly around here.
Reminder: we discuss issues during the chats, but we make decisions on the community blog.
Today’s agenda is here: https://make.wordpress.org/community/2020/02/19/community-team-chat-agenda-20-february-2020/ (edited)",1
I am still doing vettings of meetups and happy with the news in the request form for new meetups,1
"I’ve done mostly WCEU related stuff, some vetting and HS triage. Also continued mentoring WordCamp Aalborg and Mannheim - both camps are in process of confirming the venue and wrangling budget for review.",1
"I’ve been mentoring a few WordCamps, including WC Miami which is happening at the end of this month! Also, ramping up with WCUS, supporting the Diverse Speaker working group, and, of course, vetting applications, doing orientations, and HS triage.",1
"Mostly working on WC Asia cancellation things, did mentor check-in with Bengaluru and some regular tasks.",1
"I've been working mostly with WC Asia over the past week to assist with cancellation tasks and get things set up for the 2021 event - also the usual keeping things going in HS, etc.",1
My time is split between WCEU and Core.,1
"Not enough work on other Community issues for me right now, but I’ll try to squeeze in at least one vetting over the weekend (edited)",1
"I work for WordCamp Asia. Our organizer team had a mess last week and this week
 But we are learning a lot from it.
I also received Code of Conduct training for WordCamp Asia.
And a regular meeting with Deputy in Japan. We are also consulting with organizers about hosting a Japanese Meetup. About holding, postponement or cancellation depending on the situation at COVID-19.",1
"sounds like we are busy with WordCamps, so I guess we can say that the season has started!",1
"Even tho the news about cancellation of WC Asia was sad, seeing the response and all the support for organisers from WordPress community made me so happy",1
"Okay! Moving forward. We have some P2 posts needing review and feedback. Even commenting +1 or something short to these posts is really valuable and helpful, so please take some time after our team chat to check these posts out.",1
"2019 Annual WordPress Meetup Organizer Survey https://make.wordpress.org/community/2020/02/16/2019-annual-wordpress-meetup-organizer-survey/
Annual Meetup Organizer survey has been sent out! If you are a Meetup Organizer, please feel free to share the survey link with your co-organizers. (edited)",1
"Worth saying, also survey for meetup members is still open for business https://make.wordpress.org/community/2020/02/04/2019-annual-wordpress-meetup-member-survey/ (edited)",1
"I’m busy with WCEU and WCCA stuff, orientations, HS tickets, WC site creations, etc.",1
"WordCamp and Meetup application vetting sprints – February 2020 https://make.wordpress.org/community/2020/02/07/wordcamp-and-meetup-application-vetting-sprints-february-2020/
We currently have a backlog of WordCamp and Meetup applications. We would like to request the help of all deputies to help us stay responsive to community members, and to help keep our queues moving forward.
That’s why we are having two more vetting sprints this month: Friday, February 21, 2020, 13:00 UTC and Tuesday, February 25, 2020, 16:00 UTC (edited)",1
"Thank you @angelasjin for putting vetting sprints together for this month! Let’s have some again next month, is anyone willing to put sprints together for March?",1
maybe someone on Americas friendly meeting will volunteer,1
Then we have a bit more highlighted P2 posts this time,1
"Applying lessons from agile to event organization: the sprint retro https://make.wordpress.org/community/2020/02/17/applying-lessons-from-agile-to-event-organization-the-sprint-retro/
Jenny Beaumont shared this very interesting post on how WordCamp organizers can improve the way team works. Worth reading! (edited)",1
"love that whole post from jenny - its a great format for retrospective for projects and, in our case, wordcamp organising teams",1
i would encourage any organising team to run through that after the event - it will really help with identifying things that can be improved for the next one,1
Totally! Usually we just throw up an amazing event but forgot to gather feedback properly after it.,1
yeah exactly,1
"do_action hackathon Cheltenham 2019 – building four websites in a day! https://make.wordpress.org/community/2020/02/13/do_action-hackathon-cheltenham-2019-building-four-websites-in-a-day/
Very nice recap on how do_action hackathon Cheltenham 2019 went! I’m like thiiiiiiiiiiiiis exicted about seeing more and more do_action events takign place 
 (edited)",1
Hugh might know; how many do_action events have taken place after launching the event series?,1
oh id have to go and check that - its a manual count,1
but id say about 40 or so altogether over 3 years,1
"Changes in Meetup Organizer Application form https://make.wordpress.org/community/2020/02/19/changes-in-meetup-organizer-application-form/
Some changes were made to the meetup organizer application form and hopefully deputies don’t need to ask more information from applicants so often anymore. (edited)",1
"As a side note: I’m also going to review the fields on both WordCamp and Meetup edit view on central.wc.org and see if we can make those simpler. I’ll share the results for discussion on P2 
 There’s also issue for making the original application more easy to read.",1
"Community Team Reps for 2020 https://make.wordpress.org/community/2020/02/06/community-team-reps-for-2020-2/
Have you already met our team reps for 2020? If you haven’t take a look on the post and get to know with Mary and Cami. (edited)",1
"Last but not least, update from very important working group…",1
"Recap of the Diverse Speaker Training group (#wpdiversity) on Feb 12, 2020 https://make.wordpress.org/community/2020/02/13/recap-of-the-diverse-speaker-training-group-wpdiversity-on-feb-12-2020/ (edited)",1
"The Diverse Speaker Training working group is awesome! We’ve been working on updating our tools and training, and are working on some EOY reporting.",1
"If you’re interested in participating in the working group, we’d love to have you! And, if you’d like to run the workshop in your meetup, we are so ready to help you with that",1
"After linking to multiple P2 posts so fast, it’s time for open floor! So for anyone who is here - is there anything youd like to say or talk about?",1
"since WC Asia isn't happening, I know a few contributor teams are organising online contributor events in place of the contributor day that would have happened",1
"i know of Theme Review, Polyglots and (I think) Marketing",1
"we don't have one planned for Community, but if anyone feels like leading a vetting sprint or some other contributor work this weekend, then please do! (and post about it on the p2 
 )",1
There’s still time to fire your questions and thoughts on open floor. Anyone have something in their mind?,1
Tl;DR the WCEU Contributing Team is aiming to make Contributor Day at WCEU a pivotal point for how Contributor Days are done,1
"We would like to get very efficient at onboarding 
 So people don’t only get pumped on the day, but they take the day as the starting point for a long-lasting, sustainable contribution practice",1
"In the next few weeks we will ping the Team Reps for each Make team to get comments, ideas, onboarding instructions, tasks, etc…",1
We are creating onboarding guides in the WP.org GitHub repo,1
"generic for tools that are used by multiple teams
specific for teams",1
"These are not duplicated of the Get Started at Contributor day guides that many teams have (and probably need to be reviewed) and they are on GitHub because they are
Team agnostic
Translatable
(edited)",1
Thanks for your attention,1
"Oh, related to Contributor Day this call from WCEU is also worth mentioning. Spread it to your local communities 
  https://2020.europe.wordcamp.org/2020/02/15/call-for-contributor-stories/ (edited)",1
i always love seeing this prep for WCEU come up at this time of year,1
we have few minutes left…,1
Remember how we discussed about improving the application experience by sending automatic follow-ups to applicants if their application has been waiting for too long?,1
Some time ago awesome #meta-wordcamp fixed the confirmation messages and those are now coming to our HS,1
…but we still need the automatic follow-ups if that message has been sitting for too long,1
"and actually we need also slight change to our process. When we see that message in HS, link to the ticket should be updated to application for further communication",1
"mmm, this might need some more thinking actually because we are not currently using the HS API.",1
I’m just talking my thoughts out loud here,1
"Well, we are near the one hour mark and it means wrapping up this session of community team meeting.",1
"Thank you all for being here today! This meeting will be held with same agenda later today at 20:00 UTC for covering americas friendly timezone.
Needless to say, if anyone has questions or feedbacks, do not hesitate to comment, someone will always respond 

</community-team-chat>",1
thanks for leading the chat @sippis!,1
We are kicking off Community Team Chat now. React to this message with your flags so we can see where you’re all from!,1
Today’s agenda is here: https://make.wordpress.org/community/2020/02/19/community-team-chat-agenda-20-february-2020/,1
I’m just working on mentoring WordCamp Montclair at the moment. No blockers for me.,1
"Working on Youth Working group stuff, and WCUS and mentoring miami’s Kids programming",1
"Mentoring WordCamp Charlotte, working on the sponsor team for WC Atlanta, and WCUS .",1
"Assisted Meetup organizer via Slack DM., vacation, participated in earlier vetting spring. no blockers apart from “not enough time”",1
"mentoring Orlando and San Diego, working with some other camps that need Sponsorship assitance",1
"Hello! Diverse Speaker Training group (#wpdiversity):
I have been recording and editing a new Train the Trainers for the last two weeks 
We are working on getting year-end stats for 2019
We are creating new systems for follow-up and tracking how the meetups do with our workshop
We are running monthly train the trainers
etc. ! 
 (edited)",1
"I've been working on rolling out the Global Sponsorship program, as well as mentoring Calgary, Little Rock, Tulsa, and Asheville 
 (edited)",1
"Loads of WCEU stuff and Core, not enough sleep or hours in the day",1
"Orientations and budget reviews, mentoring WordCamps Boston, Chicago, Dallas/Fort Worth, Publishers - Philadelphia, Philadelphia, San Antonio, Santa Clarita, Washington, DC, and the Youth Events working group. Getting my bearings as a team rep, working on getting the Get Involved activation ready for WCEU. And wow y’all have  had a lot of contracts that needed reviewing lately",1
"Info on do_action Cheltenham
https://make.wordpress.org/community/2020/02/13/do_action-hackathon-cheltenham-2019-building-four-websites-in-a-day/",1
"Diverse Speaker Training Recap
https://make.wordpress.org/community/2020/02/13/recap-of-the-diverse-speaker-training-group-wpdiversity-on-feb-12-2020/",1
"One more P2 that is pinned for easy access going forward and certainly great knowledge to have and share with others:
https://make.wordpress.org/community/2019/10/04/how-to-contribute-to-the-global-community-team/",1
One thing discussed in earlier version of team meeting was activating WordCamp Central Twitter account. @bph has written excellent proposal about it few years ago and now I'm planning to put up P2 post asking interest to participate on retweeting curated content.,1
Just a heads up so that you know that the post is coming,1
There’s still time (about 20 minutes) to fire your questions and thoughts on open floor. Anyone have something in their mind?,1
"In the next few weeks we will ping the Team Reps for each Make team to get comments, ideas, onboarding instructions, tasks, etc…
We are creating onboarding guides in the WP.org GitHub repo
generic for tools that are used by multiple teams
specific for teams
The basic onboarding guides are not duplicated of the Get Started at Contributor day guides that many teams have (and probably need to be reviewed) and they are on GitHub because they are
Team agnostic
Translatable",1
"We will contact Team reps because we would like to prepare tasks, but we welcome feedback from everyone: so if you have any ideas on how to improve Contributor Days so they can be the foundation for long-lasting, sustainable contribution, don’t hesitate to leave comments on the above post (edited)",1
"This reminded me about this call for contribution stories from WCEU. Please share it in your local communities and submit your own story 
 https://2020.europe.wordcamp.org/2020/02/15/call-for-contributor-stories/",1
"Thank you all for attending today!
Needless to say, if anyone has questions or feedbacks, do not hesitate to comment, someone will always respond 

</community-team-chat>",1
Todays agenda can be found here: https://make.wordpress.org/community/2020/01/29/youth-event-working-group-formerly-kids-chat-agenda-thursday-13-february-2020/ (edited),1
Updates from the past month: Feel free to note anything you have been working on or accomplished in January,1
The team now has an official Orientation being finalized and should be ready very soon. @camikaos and I have been working to get a snippet for the main WC orientations setup too.,1
I’ve been acting as a mentor for Sandy in leading the working group and discussing program goals for the year.,1
"And there are a few solid goals that we will talk about shortly 
 Huge kudos to Cami for all the help guiding us as a team to success!",1
With that I am opening the floor for discussion for the next bit if anyone has anything at all to discuss regarding the Working Group.,1
What’s the time commitment for both the mentor role and the WG role ?   Asking for a friend.,1
Mentorship is a bit more time consuming. That you are looking at checking in with the camp every couple weeks to make sure they are on track and can ask any questions that might arise.,1
The WG really is what you can give it. If you have 1 hour bi-weekly awesome. If it is more or less fine too!,1
We use a Trello board to keep track and Google Docs to keep everything open to the team,1
I’ll ponder.  I may put my name forward.,1
I know there are others who may not have been able to join today and that is okay. You can leave your comments in threads and I will add them to the P2 recap post tomorrow afternoon.,1
"@deputies
We’re kicking off our Community Team Chat now!
We have these meetings at both 11:00 UTC and 20:00. Same agenda, same discussions, just different people! 
React to this message with your flags so we can see where you’re all from! (edited)",1
Let’s start with today’s agenda: https://make.wordpress.org/community/2020/02/04/community-team-chat-agenda-thursday-6-february-2020/,1
"First on the agenda is the usual Deputy Check-in
What are you working on, and how’s it going?
Do you have any blockers that your teammates can help you with? (edited)",1
I'm all over the meetups vettings,1
Im still busy with WCAsia. As at now the event will go on as planned. 2 weeks to go.,1
"WordCamp Tokyo orientation.  
Japanese community meeting.  
And I work for WordCamp Asia.  It is this month!",1
"Been working on the usual day to day things, as well as mentoring WC Asia (where things are going really well!) and helping move things along, as well as finalising the voting for the new community team reps - also had a call with the Dropbox community team today because they were very interested in how our community program works",1
"I’m mentoring a few camps (WC Glasgow is this weekend!!), onboarding organizers for WCUS, helping out the Diverse Speakers Working Group with some EOY reporting support. As usual, vetting and orientations and all that fun stuff",1
"No active mentoring right now but WC Niigata reported they closed the book and it turned out they didn’t use any Global grant :)
Other than that, just focusing on WCAsia organization.",1
"I’m mentoring WCEU and WCCA, doing  orientations, budget reviews, HS tickets, mentoring mentors and other WCs",1
"I have not been as active in helping with vetting etc. over the last few weeks as I would like to be, but have been concentrating my efforts into learning more about the my new role as a deputy.",1
"I have been busy in the last couple of weeks with WC Asia, mentor checkins with Bucharest and Bengaluru, and worked on a mediation",1
oh - before we get to the P2 posts - id like to announce the new community team reps,1
very pleased to announce that the new Community Team reps for 2020 are @Mary Job and @camikaos,1
and here's a more central announcement: https://make.wordpress.org/community/2020/02/06/community-team-reps-for-2020-2/,1
congrats to them and im looking forward to seeing a productive community team this year!,1
"their responsibilities are laregly to make sure this meeting is run each time, report on out work on the Updates P2 and report back to the project's executive director when needed",1
and now - back to the agenda @Aditya Kane,1
and getting back to the first p2 post that needs review or feedback.,1
"Next up,",1
Meetup organizer newsletter suggestions for February 2020 -https://make.wordpress.org/community/2020/02/04/meetup-organizer-newsletter-suggestions-for-february-2020/,1
"additionally, we also need deputies to put together this newsletter. Let us know in comments if you are interested in working on this newsletter.",1
"it would be good to get some more locally focussed content in that newsletter, so if you have anything from your local community that you think the rest of the world should know about, then please comment with that 
 (edited)",1
"And next, @Sam Suresh has shared some nice information on the get involved table at WordCamp Asia 2020 https://make.wordpress.org/community/2020/01/29/get-involved-table-at-wordcamp-asia-2020/",1
it would be great to see more folks helping out at the Get Involved table - even if you've never done it before!,1
"Yes, all the instructions are shared the post linked above!",1
The famous Dashboard Event’s widget could do with some improvements. A proposal for improvements has been shared https://make.wordpress.org/community/2020/01/21/needs-feedback-proposal-for-improving-the-dashboard-events-widget/,1
It would be wonderful to get more eyes on this!,1
"And we have a post about Contributor Day for WordCamp Europe 2020 - aptly titled WCEU 2020 – Leave no Contributor Behind
https://make.wordpress.org/updates/2020/01/27/wceu-2020-leave-no-contributor-behind/",1
"The team for WCEU would like to do 2 things
Increase the value that new attendees get from Contributor Day
Increase the long term benefit to the WordPress project from onboarding new contributors",1
"Along with that, lets highlight a few more p2 post and announcements.",1
"The WordCamp PWA is now available for all WordCamps 
 https://make.wordpress.org/community/2020/02/03/wordcamp-pwa-is-now-available-for-all-wordcamps/",1
very excited about the PWA being live,1
It will be really helpful for so many camps around the world!,1
The new Global Sponsors for 2020 were announced last week https://make.wordpress.org/community/2020/02/01/2020-global-sponsors/,1
We also shipped the newsletter for meetup organizers - https://make.wordpress.org/community/2020/01/30/wordpress-meetup-organizer-newsletter-january-2020/,1
And kudos to Hugh for writing up the final outline for the speaker feedback tool:  https://make.wordpress.org/community/2020/01/27/speaker-feedback-tool-final-outline/,1
and thanks to everyone who submitted feedback…,1
development has started on the speaker feedback tool - looking forward to seeing that completed!,1
And we also have the Annual WordPress Meetup Member Survey for 2019 https://make.wordpress.org/community/2020/02/04/2019-annual-wordpress-meetup-member-survey/,1
please let anyone know who you're mentoring at the moment about the survey (edited),1
And with that closing team chat for today!,1
"@deputies it's time for our meeting, sorry for this 5 mins late I had a rush 
 (edited)",1
"We’re kicking off our Community Team Chat now! We have these meetings at both 11:00 UTC and 20:00. Same agenda, same discussions, just different people! 

React to this message with your flags so we can see where you’re all from!",1
"Hello! Report from Diverse Speaker Training team (#wpdiversity):
Our focuses right now are:
Having a better response rate with things like creating a better series of Train the Trainers videos
Working on our 2019 year-end stats report
Translations
Marketing
And as of today, we’re working on a new tracker spreadsheet format to serve our growing needs (highlighted by said 2019 stats gathering 
 )
(edited)",1
"Thanks for the report, For anyone who is joining for the first time (whether active or observing), this is a meeting where community deputies discuss issues that have come up, WordCamps/meetups they are working on, and generally keeping up to date on what is going on in this corner of the WordPress project.",1
Today’s agenda is here: https://make.wordpress.org/community/2020/02/04/community-team-chat-agenda-thursday-6-february-2020/ (edited),1
We have new community reps! Congratulations to @camikaos & @Mary Job https://make.wordpress.org/community/2020/02/06/community-team-reps-for-2020-2/,1
"2. Deputy/Mentor check-in, What have you been doing and how is it going? (@jillbinder replied above)",1
"Haven't completed my mentor onboarding yet, but it's a Q1 priority for me. So you'll have another mentor for North America by the end of February or mid-March.",1
I've been working with San Diego and Orlando as their mentor. Helping a couple of other campos with Sponsors.  Jsut finished up working on Global Sponsors for 2020 (edited),1
"I've been mentoring WC Paris and WC Antwerp. Both organizing teams are doing great job 
 . I vetted 1 meetup application (As Rocio said it's better than 0 
 )",1
3. P2 posts needing review/feedback,1
"If you want/can get involved in WordCamp Asia, you can do it from there: https://make.wordpress.org/community/2020/01/29/get-involved-table-at-wordcamp-asia-2020/ (edited)",1
Please give your feedback about this proposal to improve the Events dashboard widget: https://make.wordpress.org/community/2020/01/21/needs-feedback-proposal-for-improving-the-dashboard-events-widget/ (edited),1
Dropping comments in now. Thanks @imath.,1
"Let's share about the 2020 Meetup survey : https://make.wordpress.org/community/2020/02/04/2019-annual-wordpress-meetup-member-survey/
I've replied to it and shared it on Twitter 
 (edited)",1
"The WordCamp PWA is now available for all WordCamps 
 https://make.wordpress.org/community/2020/02/03/wordcamp-pwa-is-now-available-for-all-wordcamps/ (edited)",1
"Here are the 2020 global sponsors: https://make.wordpress.org/community/2020/02/01/2020-global-sponsors/ Many thanks to them 
 (edited)",1
"If you missed the January Meetup organizer newsletter, here it is: https://make.wordpress.org/community/2020/01/30/wordpress-meetup-organizer-newsletter-january-2020/ (edited)",1
"And finally, here's an update about the very promising WC Speaker Feedback tool: https://make.wordpress.org/community/2020/01/27/speaker-feedback-tool-final-outline/ (edited)",1
"6. As we still have some time, let's end with an open floor. Does anyone has something she/he wishes to talk about ? (edited)",1
I do believe that there will be a mass update (manual) of Global Sponsors.   It would be nice if Organizers did it to help us all.  @Courtney P.K. would be the one with information on that,1
Yes I already informed WC Paris and Antwerp about it.,1
"Hello @deputies! We’re kicking off our Community Team Chat now. We have these meetings at both 11:00 UTC and 20:00. Same agenda, same discussions, just different people!",1
Today’s agenda is here: https://make.wordpress.org/community/2020/01/15/community-team-chat-agenda-thursday-16-january-2020/,1
First on the agenda is Team Rep VotingI You can now vote for the new Community Team Reps here: https://make.wordpress.org/community/2020/01/15/community-team-reps-submit-your-votes/,1
Huge thanks to @Hugh Lashbrooke and @francina for being our most excellent team reps to date,1
"Next the agenda is the usual Deputy Check-in. What are you working on, and how’s it going? Do you have any blockers that your teammates can help you with?",1
"Been getting back into the swing of things for the year with a strong focus on mentoring WC Asia (which is coming together really well!) as well as getting things in place, like the team rep voting and such",1
I have been busy with WordCamp Asia. A lot of things going on now as we are getting closer to the event. A lot excitement and a lot of work as well,1
"I’ve been mentoring and working closely with a few WordCamps, and am very excited to ramp up organizing for WCUS 2020! And usual work with HS and orientations.",1
I have been working on some mentoring of WCs and busy with WordCamp Asia as the event is getting closer!,1
"Slowly starting to the year. Done some vetting, wrangled EU camera kits and scheduled first mentoring session with WC Mannheim and Aalborg",1
a,1
"I have been trying to learn all the things to do with being a deputy, and getting my confidence up to tackle more WordCamp/Meetup applications, thanks to all I have bugged and gave me help along the way.",1
"Hello! I’m working on WCEU mentorship stuff, WC Centroamerica budget review and it was announced yesterday! HS tickets, orientations, vetting, deputy support/help, WC and Meetup organizers support, contracts, agreements, etc.",1
Next on the agenda is P2 posts that need review/feedback! (edited),1
The first P2 post is a Proposal: Meetup Annual Survey Changes: https://make.wordpress.org/community/2020/01/14/proposal-meetup-annual-survey-changes/,1
lets work on revamping the questions first,1
"These are all excellent suggestions, so don’t forget to post them on the P2!",1
